provinsi,kabupaten_kota,kecamatan,umk,pdrb_per_capita,jumlah_penduduk_muslim
Jawa Barat,Kabupaten Bogor,,4877211.17,58788,5782018
Jawa Barat,Kabupaten Sukabumi,,3604482.92,33442,2919391
Jawa Barat,Kabupaten Cianjur,,3104583.63,26555,2699003
Jawa Barat,Kabupaten Bandung,,3757284.86,47558,3828461
Jawa Barat,Kabupaten Garut,,2328555.41,31287,2915682
Jawa Barat,Kabupaten Tasikmalaya,,2699992.26,28081,2025306
Jawa Barat,Kabupaten Ciamis,,2225279.16,36794,1318048
Jawa Barat,Kabupaten Kuningan,,2209519.29,34235,1245334
Jawa Barat,Kabupaten Cirebon,,2681382.45,30639,2512493
Jawa Barat,Kabupaten Majalengka,,2404632.62,37079,1374336
Jawa Barat,Kabupaten Sumedang,,3732088.02,42652,1236021
Jawa Barat,Kabupaten Indramayu,,2794237,59333,2004856
Jawa Barat,Kabupaten Subang,,3508626.53,34956,1699809
Jawa Barat,Kabupaten Purwakarta,,4792252.92,89218,1071454
Jawa Barat,Kabupaten Karawang,,5599593.21,130653,2614027
Jawa Barat,Kabupaten Bekasi,,5558515.1,136696,3300551
Jawa Barat,Kabupaten Bandung Barat,,3736741,34549,1918012
Jawa Barat,Kabupaten Pangandaran,,2221724.19,38393,450489
Jawa Barat,Kota Bogor,,5126897.22,60701,1081847
Jawa Barat,Kota Sukabumi,,3604482.92,47649,365140
Jawa Barat,Kota Bandung,,4482914.09,158495,2408742
Jawa Barat,Kota Cirebon,,2697685.47,95182,336512
Jawa Barat,Kota Bekasi,,5690752.95,52514,2309378
Jawa Barat,Kota Depok,,5195721.78,46686,1902496
Jawa Barat,Kota Cimahi,,3863692,76989,552059
Jawa Barat,Kota Tasikmalaya,,2801962.82,42129,765904
Jawa Barat,Kota Banjar,,2204754.48,28051,208364
