nama_pesaing,kabupaten_kota,latitude,longitude,rating_bintang
Bani Aqiqah Bogor,Kabupaten Bogor,-6.525191,106.5089349,4.9
Rumah Aqiqah Bogor,Kabupaten Bogor,-6.525191,106.5089349,5.0
Sahabat Aqiqah,Kabupaten Bogor,-6.525191,106.5089349,5.0
Gonam Aqiqah Bogor,Kabupaten Bogor,-6.525191,106.5089349,5.0
KLIK AQIQAH BOGOR,Kabupaten Bogor,-6.525191,106.5089349,5.0
Aqiqah Nurul Hayat Bogor,Kabupaten Bogor,-6.525191,106.5089349,5.0
Bens Aqiqah,Kabupaten Bogor,-6.525191,106.5089349,5.0
Aqiqah Dinar Bogor,Kabupaten Bogor,-6.525191,106.5089349,5.0
Bogor Aqiqah Center,Kabupaten Bogor,-6.525191,106.5089349,4.6
Salamah Aqiqah & Catering,Kabupaten Bogor,-6.525191,106.5089349,5.0
AQIQAH AZKAH,Kabupaten Bogor,-6.525191,106.5089349,4.8
Hamasah Aqiqah Center,Kabupaten Bogor,-6.525191,106.5089349,4.9
Pelangi Aqiqah,Kabupaten Bogor,-6.525191,106.5089349,4.7
Kencana Farm Aqiqah dan Qurban Bogor,Kabupaten Bogor,-6.525191,106.5089349,5.0
Abah Farm Aqiqah Bogor – Qurban & Kambing Guling,Kabupaten Bogor,-6.525191,106.5089349,4.8
KHASANAH AQIQAH BOGOR,Kabupaten Bogor,-6.525191,106.5089349,4.7
Katering Aqiqah Al Ma'idah & Peternakan Kambing Super Bogor,Kabupaten Bogor,-6.525191,106.5089349,4.8
Medina Aqiqah & Catering,Kabupaten Bogor,-6.3843264,106.6853685,5.0
Prestige Aqiqah Bogor,Kabupaten Bogor,-6.5662637,106.485412,5.0
"Rucis Aqiqah Bogor ( Jasa Aqiqah, Catering Aqiqah, Tempat Paket Catering Aqiqah) Bisa dadakan h-1",Kabupaten Bogor,-6.5662637,106.485412,5.0
Aqiqah Mutiara Hijrah | Aqiqah | Catering | Kambing Guling | Qurban | Kambing | Sapi,Kabupaten Bogor,-6.6444294,106.6014944,4.7
ASYIQ AQIQAH (Catering Aqiqah | Jasa Aqiqah | Paket Aqiqah),Kabupaten Bogor,-6.6444294,106.6014944,4.7
Aqiqah Q-ta Sukabumi,Kabupaten Sukabumi,-6.8683837,106.6048405,4.9
Aqiqah Sukabumi Nurul Hayat,Kabupaten Sukabumi,-6.8683837,106.6048405,5.0
ADZKIA AQIQAH SUKABUMI,Kabupaten Sukabumi,-6.8683837,106.6048405,4.9
Aqiqahking Aqiqah Sukabumi,Kabupaten Sukabumi,-6.8683837,106.6048405,4.9
Rizqia Aqiqah Cibadak Sukabumi,Kabupaten Sukabumi,-6.8683837,106.6048405,4.9
Aqiqah Almaidah Sukabumi,Kabupaten Sukabumi,-6.8683837,106.6048405,5.0
