nama_rph,alamat,kabupaten_kota,no_telp,latitude,longitude,kategori
Dunia Domba Indonesia (Kandang Gunung Wangon),"
RT.02/RW.11, Pamoyanan, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16136",Kabupaten Bogor,"
0812-8994-5918",-6.6429055,106.5081657,Kandang Domba
Kandang Domba Asyiq,"
Kp Jl. Bantar Kambing, Pasirgaok, Kec. Ranca Bungur, Kabupaten Bogor, Jawa Barat 16310",Kabupaten Bogor,"
0852-1355-2888",-6.6429055,106.5081657,Kandang Domba
Kandang Domba Indonesia | Peternakan Kambing & Domba Kurban Jabodetabek,"
Kampung bungur rt 5 r5, Megamendung, Kec. Megamendung, Kabupaten Bogor, Jawa Barat 16770",Kabupaten Bogor,"
0851-3494-7287",-6.6569817,106.6521746,Kandang Domba
Kandang Sarjana Domba,"
9MCP+6JH, Tapos II, Kec. Tenjolaya, Kabupaten Bogor, Jawa Barat 16370",Kabupaten Bogor,"
0878-8882-2165",-6.630791,106.3986579,Kandang Domba
Kandang domba,"
GXFP+HW4, Ligarmukti, Kec. Klapanunggal, Kabupaten Bogor, Jawa Barat 16710",Kabupaten Bogor,-,-6.4753655,106.700416,Kandang Domba
Domba Kiloan Kandangku,"
Jl. HM. Syarifudin No.38, RT.2/RW.02, Bubulak, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16115",Kabupaten Bogor,-,-6.5638186,106.4699083,Kandang Domba
Kandang Sementara Farm (Peternakan Domba),"
Bendungan, Kec. Jonggol, Kabupaten Bogor, Jawa Barat 16830",Kabupaten Bogor,"
0812-1036-6070",-6.4896522,106.7974322,Kandang Domba
Kampung Domba Gunung Salak,"
7QHP+JQJ, Ciburayut, Kec. Cigombong, Kabupaten Bogor, Jawa Barat 16110",Kabupaten Bogor,"
0857-7132-4668",-6.7211566,106.4985863,Kandang Domba
Kandang domba & sapi BABAH ODI,"
8VRV+FVG, Jl. Cijulang Lb. Edil, Kopo, Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16770",Kabupaten Bogor,"
0858-1749-9645",-6.7211566,106.4985863,Kandang Domba
Bibilintik Farm/ DOMBA GARUT BOGOR,"
Jl. Raya Tapos, Cibedug, Kec. Ciawi, Kabupaten Bogor, Jawa Barat 16720",Kabupaten Bogor,"
0858-1724-5747",-6.7211566,106.4985863,Kandang Domba
Kandang domba chili,"
CPM9+J9P, Cihideung Ilir, Kec. Ciampea, Kabupaten Bogor, Jawa Barat 16620",Kabupaten Bogor,"
0895-2190-3042",-6.7211566,106.4985863,Kandang Domba
Kandang Domba Mang Koboi,"
Amiril hill Camp & Adventure, Jl. Raya Tapos No.11, Cibedug, Ciawi, Bogor Regency, West Java 16720",Kabupaten Bogor,"
0813-9886-0832",-6.7211566,106.4985863,Kandang Domba
Kandang domba kang (aben) dhi,"
CV36+WPW, Cijayanti, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810",Kabupaten Bogor,"
0895-3681-23356",-6.7211566,106.4985863,Kandang Domba
kandang domba pak iis,"
BantarKemang, RT.05/RW.07, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143",Kabupaten Bogor,"
0815-7444-3814",-6.7211566,106.4985863,Kandang Domba
Digiternak kandang Domba Ciawi,"
8R6J+95H, Ciherang Pd., Kec. Caringin, Kabupaten Bogor, Jawa Barat 16730",Kabupaten Bogor,"
0822-8700-8482",-6.7211566,106.4985863,Kandang Domba
Kandang domba garut kampung kubang,"
8RP6+HCR, Cipicung, Kec. Cijeruk, Kabupaten Bogor, Jawa Barat 16740",Kabupaten Bogor,"
0896-6439-3219",-6.7211566,106.4985863,Kandang Domba
Kandang Bandar Domba,"
Kampung bungur rt 5 r5, Megamendung, Kec. Megamendung, Kabupaten Bogor, Jawa Barat 16770",Kabupaten Bogor,"
0813-9435-2167",-6.657232,106.6521897,Kandang Domba
KANDANG KAMBING HAJI DIDIN,"
CR8G+6CV, Jl. Untung Partowijoyo 2, RT.02/RW.03, Cimahpar, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16155",Kabupaten Bogor,"
0821-2514-6649",-6.657232,106.6521897,Kandang Domba
"BENS FARM (Peternakan Domba, Jasa Aqiqah, Supplier domba, Hewan Qurban)","
Kp. Cipeteuy No.79, RT./RW/RW.02/06, Cikeas, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat 16710",Kabupaten Bogor,"
0812-4304-4304",-6.657232,106.6521897,Kandang Domba
KANDANG DOMBA BABA,"
F2MV+GC8, Kp. Tegal sempug, RT.01/RW.07, Sukasirna, Kec. Jonggol, Kabupaten Bogor, Jawa Barat 16830",Kabupaten Bogor,"
0858-2533-8373",-6.657232,106.6521897,Kandang Domba
Kandang domba-kambing Pak Usman,"
CVQ8+CVV, Babakan Madang, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16811",Kabupaten Bogor,"
0812-3621-0025",-6.657232,106.6521897,Kandang Domba
Nusaqu Jampang | Kandang Domba nusaqu,"
Jampang, Kec. Kemang, Kabupaten Bogor, Jawa Barat 16310",Kabupaten Bogor,"
0815-4584-2432",-6.657232,106.6521897,Kandang Domba
Kandang domba dan rumah ziyad,"
CR7G+RJG, RT.03/RW.08, Cimahpar, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16155",Kabupaten Bogor,-,-6.657232,106.6521897,Kandang Domba
Kandang Domba Kambing NusaQu | Jual Hewan Qurban,"
RT.03/RW.03, Jampang, Kec. Kemang, Kabupaten Bogor, Jawa Barat 16310",Kabupaten Bogor,"
0895-3611-17333",-6.657232,106.6521897,Kandang Domba
Star Farm Qurban - Kandang Domba,"
FP99+PF4, Jl. Kp. Rancasari, Pasirgaok, Kec. Ranca Bungur, Kabupaten Bogor, Jawa Barat 16310",Kabupaten Bogor,-,-6.657232,106.6521897,Kandang Domba
Kandang Domba,"
9Q65+2GH, 9PPV+8H3Jl. CipayungSukaharja, Kec. Ciomas, Kabupaten Bogor, Jawa Barat 16610",Kabupaten Bogor,-,-6.6399254,106.4704583,Kandang Domba
Jago Kandang - Sapi Kambing Domba Qurban Jakarta Depok Bekasi,"
Gg. Mede No.58, RT.2/RW.7, Sukatani, Kec. Tapos, Kota Depok, Jawa Barat 16454",Kabupaten Bogor,"
0812-9985-322",-6.3924169,106.6030149,Kandang Domba
